input,inputLength,LongestChainBacktrackingSolverTime,LongestChainBacktrackingSolverResult,LongestChainBacktrackingSolverResultLength,LongestChainBFSSolverTime,LongestChainBFSSolverResult,LongestChainBFSSolverResultLength
"[[1|0], [1|1], [6|5], [4|3], [6|2], [4|2], [2|0], [4|4], [3|0], [5|2], [4|0], [6|0], [3|1], [6|1], [5|1], [5|3]]",16,1,[4|4][4|3][3|5][5|6][6|2][2|5][5|1][1|6][6|0][0|4][4|2][2|0][0|3][3|1][1|1][1|0],16,459,[0|3][3|1][1|0][0|4][4|4][4|3][3|5][5|1][1|1][1|6][6|0][0|2][2|6][6|5][5|2][2|4],16
"[[5|3], [6|0], [2|1], [5|2], [4|2], [5|1], [6|2], [3|3], [6|4], [6|3], [3|1], [6|6], [5|4], [0|0], [6|5], [1|1], [4|3]]",17,4887,[6|6][6|5][5|4][4|6][6|3][3|5][5|2][2|4][4|3][3|3][3|1][1|1][1|2][2|6][6|0][0|0],16,266,[1|3][3|5][5|2][2|1][1|1][1|5][5|4][4|6][6|6][6|3][3|3][3|4][4|2][2|6][6|0][0|0],16
"[[6|2], [6|0], [3|3], [6|5], [4|1], [3|1], [5|3], [6|3], [2|2], [4|3], [2|0], [5|0], [3|0], [6|1], [5|4], [6|4], [5|5]]",17,0,[3|6][6|5][5|5][5|4][4|6][6|1][1|4][4|3][3|3][3|5][5|0][0|6][6|2][2|2][2|0][0|3][3|1],17,813,[1|4][4|6][6|5][5|4][4|3][3|3][3|0][0|5][5|5][5|3][3|6][6|0][0|2][2|2][2|6][6|1][1|3],17
"[[4|3], [3|0], [6|0], [4|2], [5|1], [6|4], [3|2], [4|4], [6|3], [2|2], [2|0], [5|0], [6|1], [1|1], [5|5], [2|1], [4|1]]",17,7,[1|6][6|4][4|4][4|3][3|6][6|0][0|5][5|5][5|1][1|4][4|2][2|2][2|3][3|0][0|2][2|1][1|1],17,811,[2|0][0|3][3|6][6|1][1|1][1|5][5|5][5|0][0|6][6|4][4|4][4|3][3|2][2|2][2|1][1|4][4|2],17
"[[0|0], [2|2], [3|3], [3|2], [3|1], [3|0], [6|2], [4|0], [2|0], [6|4], [6|3], [4|4], [4|2], [6|0], [6|6], [5|1], [5|5]]",17,355,[4|0][0|3][3|2][2|2][2|0][0|0][0|6][6|4][4|4][4|2][2|6][6|6][6|3][3|3][3|1][1|5][5|5],17,213,[5|5][5|1][1|3][3|6][6|4][4|4][4|0][0|6][6|6][6|2][2|3][3|3][3|0][0|0][0|2][2|2][2|4],17
"[[3|2], [2|1], [2|2], [3|0], [6|3], [3|3], [0|0], [5|1], [5|5], [1|1], [4|3], [4|1], [5|0], [4|0], [6|4], [6|2], [6|0]]",17,1,[2|6][6|4][4|3][3|3][3|6][6|0][0|5][5|5][5|1][1|4][4|0][0|0][0|3][3|2][2|2][2|1][1|1],17,517,[2|2][2|3][3|6][6|0][0|0][0|4][4|6][6|2][2|1][1|1][1|4][4|3][3|3][3|0][0|5][5|5][5|1],17
"[[5|1], [6|4], [3|1], [3|3], [4|3], [6|2], [6|6], [4|1], [3|0], [5|2], [1|1], [4|0], [4|4], [2|1], [6|5], [6|3], [5|5]]",17,1523,[5|1][1|4][4|4][4|6][6|6][6|3][3|3][3|4][4|0][0|3][3|1][1|1][1|2][2|6][6|5][5|5][5|2],17,472,[5|5][5|6][6|3][3|4][4|4][4|6][6|6][6|2][2|5][5|1][1|3][3|3][3|0][0|4][4|1][1|1][1|2],17
"[[4|0], [5|2], [1|1], [4|4], [0|0], [2|0], [1|0], [3|2], [4|3], [6|1], [6|5], [2|1], [5|3], [6|0], [6|6], [3|3], [4|2]]",17,1805,[4|4][4|2][2|0][0|6][6|6][6|5][5|2][2|1][1|1][1|0][0|0][0|4][4|3][3|3][3|2],15,621,[5|6][6|6][6|0][0|0][0|1][1|1][1|2][2|0][0|4][4|4][4|3][3|3][3|5][5|2][2|3],15
"[[2|1], [3|0], [3|1], [5|4], [6|5], [3|3], [6|3], [5|1], [4|0], [2|2], [4|3], [6|1], [5|3], [6|0], [5|5], [4|2], [4|1]]",17,11976,[0|6][6|5][5|5][5|3][3|3][3|6][6|1][1|5][5|4][4|1][1|3][3|0][0|4][4|2][2|2][2|1],16,1061,[0|3][3|5][5|5][5|4][4|3][3|3][3|1][1|2][2|2][2|4][4|0][0|6][6|1][1|5][5|6][6|3],16
"[[1|0], [4|1], [4|3], [2|1], [6|6], [5|1], [2|2], [4|4], [3|0], [4|2], [6|3], [1|1], [3|1], [6|4], [3|2], [6|2], [5|4]]",17,11441,[4|4][4|6][6|6][6|2][2|4][4|5][5|1][1|4][4|3][3|1][1|0][0|3][3|2][2|2][2|1][1|1],16,691,[1|5][5|4][4|1][1|1][1|0][0|3][3|4][4|4][4|2][2|2][2|3][3|6][6|6][6|2][2|1][1|3],16
